Country,Month,Annual Change (%)
Denmark,Jan 2020,3.90
Denmark,Feb 2020,4
Denmark,Mar 2020,4.20
Denmark,Apr 2020,5
Denmark,May 2020,5.20
Denmark,Jun 2020,5.10
Denmark,Jul 2020,4.80
Denmark,Aug 2020,4.70
Denmark,Sep 2020,4.40
Denmark,Oct 2020,4.40
Denmark,Nov 2020,4.30
Denmark,Dec 2020,4.40
Denmark,Jan 2021,4.80
Denmark,Feb 2021,5
Denmark,Mar 2021,4.60
Denmark,Apr 2021,4.20
Denmark,May 2021,3.80
Denmark,Jun 2021,3.50
Denmark,Jul 2021,3.50
Denmark,Aug 2021,3.30
Denmark,Sep 2021,3
Denmark,Oct 2021,2.80
Denmark,Nov 2021,2.60
Denmark,Dec 2021,2.40
Denmark,Jan 2022,2.80
Denmark,Feb 2022,2.70
Denmark,Mar 2022,2.60
Denmark,Apr 2022,2.50
Denmark,May 2022,2.30
Denmark,Jun 2022,2.40
Denmark,Jul 2022,2.50
Denmark,Aug 2022,2.60
Denmark,Sep 2022,2.40
Denmark,Oct 2022,2.40
Denmark,Nov 2022,2.50
Denmark,Dec 2022,2.40
Denmark,Jan 2023,3
Denmark,Feb 2023,3
Denmark,Mar 2023,2.90
Denmark,Apr 2023,2.80
Denmark,May 2023,2.70
Denmark,Jun 2023,2.70
Denmark,Jul 2023,2.80
Denmark,Aug 2023,2.80
Denmark,Sep 2023,2.70
Denmark,Oct 2023,2.60
Denmark,Nov 2023,2.60
Denmark,Dec 2023,2.60
Denmark,Jan 2024,3.10
Denmark,Feb 2024,3.10
Denmark,Mar 2024,3
Denmark,Apr 2024,2.90
Denmark,May 2024,2.70
Denmark,Jun 2024,2.70
Denmark,Jul 2024,2.80
Denmark,Aug 2024,2.90
Sweden,Jan 2020,7.30
Sweden,Feb 2020,7.30
Sweden,Mar 2020,7.50
Sweden,Apr 2020,8.10
Sweden,May 2020,8.10
Sweden,Jun 2020,9.30
Sweden,Jul 2020,9.20
Sweden,Aug 2020,9.20
Sweden,Sep 2020,9.10
Sweden,Oct 2020,9.10
Sweden,Nov 2020,9.10
Sweden,Dec 2020,9.10
Sweden,Jan 2021,9.10
Sweden,Feb 2021,9.10
Sweden,Mar 2021,9.10
Sweden,Apr 2021,9.20
Sweden,May 2021,9.10
Sweden,Jun 2021,9.10
Sweden,Jul 2021,9
Sweden,Aug 2021,8.80
Sweden,Sep 2021,8.70
Sweden,Oct 2021,8.50
Sweden,Nov 2021,8.30
Sweden,Dec 2021,8.20
Sweden,Jan 2022,8
Sweden,Feb 2022,7.80
Sweden,Mar 2022,7.70
Sweden,Apr 2022,7.60
Sweden,May 2022,7.50
Sweden,Jun 2022,7.40
Sweden,Jul 2022,7.40
Sweden,Aug 2022,7.30
Sweden,Sep 2022,7.30
Sweden,Oct 2022,7.30
Sweden,Nov 2022,7.30
Sweden,Dec 2022,7.30
Sweden,Jan 2023,7.30
Sweden,Feb 2023,7.30
Sweden,Mar 2023,7.40
Sweden,Apr 2023,7.40
Sweden,May 2023,7.50
Sweden,Jun 2023,7.60
Sweden,Jul 2023,7.70
Sweden,Aug 2023,7.80
Sweden,Sep 2023,7.90
Sweden,Oct 2023,8
Sweden,Nov 2023,8.10
Sweden,Dec 2023,8.10
Sweden,Jan 2024,8.20
Sweden,Feb 2024,8.30
Sweden,Mar 2024,8.30
Sweden,Apr 2024,8.30
Sweden,May 2024,8.40
Sweden,Jun 2024,8.40
Sweden,Jul 2024,8.40
Sweden,Aug 2024,8.50
Sweden,Sep 2024,8.50
Norway,Jan 2020,3.70
Norway,Feb 2020,3.50
Norway,Mar 2020,3.60
Norway,Apr 2020,4.10
Norway,May 2020,4.60
Norway,Jun 2020,5.20
Norway,Jul 2020,5.20
Norway,Aug 2020,5.30
Norway,Sep 2020,5.10
Norway,Oct 2020,5.20
Norway,Nov 2020,5
Norway,Dec 2020,4.90
Norway,Jan 2021,4.90
Norway,Feb 2021,4.70
Norway,Mar 2021,4.80
Norway,Apr 2021,5
Norway,May 2021,5
Norway,Jun 2021,4.90
Norway,Jul 2021,4.30
Norway,Aug 2021,4
Norway,Sep 2021,3.60
Norway,Oct 2021,3.60
Norway,Nov 2021,3.50
Norway,Dec 2021,3.30
Norway,Jan 2022,3.30
Norway,Feb 2022,3.30
Norway,Mar 2022,3.10
Norway,Apr 2022,3.20
Norway,May 2022,3.20
Norway,Jun 2022,3.20
Norway,Jul 2022,3.10
Norway,Aug 2022,3.30
Norway,Sep 2022,3.40
Norway,Oct 2022,3.20
Norway,Nov 2022,3.20
Norway,Dec 2022,3.40
Norway,Jan 2023,3.60
Norway,Feb 2023,3.70
Norway,Mar 2023,3.70
Norway,Apr 2023,3.50
Norway,May 2023,3.40
Norway,Jun 2023,3.40
Norway,Jul 2023,3.50
Norway,Aug 2023,3.60
Norway,Sep 2023,3.60
Norway,Oct 2023,3.70
Norway,Nov 2023,3.70
Norway,Dec 2023,3.90
Norway,Jan 2024,3.80
Norway,Feb 2024,3.90
Norway,Mar 2024,3.90
Norway,Apr 2024,4.10
Norway,May 2024,4.20
Norway,Jun 2024,4
Norway,Jul 2024,4